pid,utime,stime,priority,mem_usage,process_type
1118,3.73905152,1.693154432,0,9256960,True
1119,0.044732292,0.014811375,0,245760,True
1120,0.051894416,0.014901291,0,245760,True
1121,24.626481152,8.915714048,0,10338304,True
1122,0.060394752,0.030841792,0,1196032,True
1127,148.388397056,27.809255424,0,7094272,True
1128,0.681652608,0.185431536,0,1327104,True
1129,0.601908992,0.177818464,0,1327104,True
1130,0.75064256,0.403232928,0,1081344,True
1131,7.163767808,3.292578304,0,13697024,True
1132,1.189996416,1.906432,0,2981888,False
1133,4.615489536,3.277019904,0,8093696,True
1136,34.385014784,5.31468288,0,7307264,True
1137,1.27115136,0.537911296,0,5406720,True
1140,33.739495424,7.049265664,0,12337152,True
1143,43.957661696,3.318952704,0,10993664,True
1145,2.192916224,1.674354816,0,245760,True
1147,0.017207584,0.026168792,0,245760,False
1148,0.0,0.0,0,0,False
1150,0.009928166,0.006789833,0,0,True
1151,2.306305536,1.391904512,0,3915776,True
1153,0.025101124,0.015773666,0,0,True
1156,0.01527575,0.00807875,0,0,True
1161,0.264925328,0.051236292,0,0,True
1164,0.0,0.0,0,0,False
1170,13.65255168,1.569738496,0,5701632,True
1172,6.918888448,0.387430304,0,12484608,True
1173,0.0,0.0,0,0,False
1174,171.28947712,26.244491264,0,35520512,True
1175,7.31511296,0.275867872,0,11665408,True
1178,4.662022144,1.05915744,0,9355264,True
1181,0.606428544,0.300021632,0,6209536,True
1183,0.059383752,0.145466672,0,126976,False
1185,0.015585833,0.010148833,0,0,True
1186,0.017086084,0.007830208,0,0,True
1187,0.036450168,0.010534291,0,0,True
1188,0.038576376,0.012814708,0,0,True
1189,0.012178208,0.007674,0,0,True
1190,0.015164458,0.003445833,0,0,True
1191,0.015293791,0.003566375,0,0,True
1192,0.015377291,0.003088166,0,0,True
1193,0.015030458,0.0031375,0,0,True
1194,0.014985458,0.003121791,0,0,True
1195,0.067204792,0.032580166,0,278528,True
1196,0.066783084,0.030423,0,278528,True
1197,0.624127424,0.252929168,0,5849088,True
1198,0.014968708,0.002886583,0,0,True
1199,0.0,0.0,0,0,False
1200,47.958810624,14.933178368,0,17776640,True
1201,0.085194288,0.067621832,0,1507328,True
1204,0.312893632,0.055959792,0,0,True
1205,0.008347583,0.004511333,0,0,True
1206,0.080931664,0.060592084,0,0,True
1207,0.06189654,0.0110685,0,0,True
1209,0.029781666,0.01148075,0,0,True
1211,0.095856168,0.044835416,0,32768,True
1212,0.773348864,0.101054,0,0,True
1213,0.02341,0.012734291,0,0,True
1214,0.021585376,0.008019166,0,0,True
1216,0.257851424,0.046630416,0,0,True
1217,0.03408396,0.008536666,0,0,True
1219,0.072688128,0.014029916,0,0,True
1220,0.062178832,0.012729375,0,0,True
1224,0.554905664,0.129867664,0,13910016,True
1230,0.074443168,0.020782124,0,0,True
1231,0.0,0.0,0,0,False
1236,1.407737856,3.865929472,0,2457600,False
1238,0.036795752,0.010441791,0,0,True
1239,0.024694332,0.007699541,0,0,True
1240,0.01866875,0.006813375,0,0,True
1241,0.026890832,0.010443625,0,0,True
1242,0.039052876,0.012480916,0,0,True
1244,4.841788928,1.379956224,0,0,True
1245,0.009390875,0.008410791,0,540672,True
1247,0.57052928,0.065857876,0,1294336,True
1248,0.15844896,0.029480416,0,245760,True
1249,0.540343168,0.205326576,0,7880704,True
1250,0.0,0.0,0,0,False
1254,0.938419648,1.178194944,0,7716864,False
1255,0.0,0.0,0,0,False
1264,18.2554624,9.652051968,0,28688384,True
1265,1.271331712,0.63092832,0,4849664,True
1266,113.122811904,58.187608064,0,115146752,True
1269,0.00964625,0.005471708,0,0,True
1270,0.150503792,0.068642912,0,1196032,True
1271,3.66206464,1.41876992,0,57688064,True
1272,0.0,0.0,0,0,False
1273,1.192812032,0.331523072,0,1572864,True
1276,0.564376512,0.142597168,0,7372800,True
1277,0.0,0.0,0,0,False
1278,0.0,0.0,0,0,False
1279,0.0,0.0,0,0,False
1280,14.043090944,5.302847488,0,20971520,True
1281,2.596670464,1.13092288,0,6258688,True
1282,5.52756736,1.640335872,0,19677184,True
1283,0.008788375,0.010356375,0,589824,False
1284,0.019929958,0.010547916,0,2080768,True
1285,6.294992896,1.085643392,0,6258688,True
1286,0.043697584,0.021134876,0,4063232,True
1288,122.831085568,16.772496384,0,220725248,True
1289,0.0,0.0,0,0,False
1290,0.177868256,0.160352048,0,5259264,True
1294,1.16502016,0.59015136,0,7471104,True
1301,0.901924352,0.626897856,0,9191424,True
1302,22.194835456,4.654088704,0,10878976,True
1307,0.130457752,0.077870168,0,1015808,True
1310,0.067059292,0.060747792,0,1769472,True
1316,0.130942792,0.296655264,0,638976,False
1321,16.497506304,9.710024704,0,8699904,True
1322,0.207051872,0.31329472,0,1622016,False
1325,0.725903808,1.904257408,0,1622016,False
1328,1.263639808,0.505955776,0,4472832,True
1330,2.506721792,1.058222848,0,12173312,True
1336,1.278369664,0.711355712,0,6029312,True
1339,3.101267456,1.398813952,0,9273344,True
1341,0.007010208,0.007395333,0,688128,False
1344,2.2791552,3.4809728,0,8470528,False
1352,0.055762084,0.052311416,0,1064960,True
1364,19.425693696,11.478759424,0,14041088,True
1368,5.128979456,4.673063424,0,11649024,True
1372,0.0,0.0,0,0,False
1380,0.186752912,0.170195744,0,8159232,True
1381,2.306518528,0.807331904,0,12304384,True
1383,0.0,0.0,0,0,False
1385,0.028639876,0.014084625,0,1114112,True
1390,2.084788352,1.36688704,0,11485184,True
1405,0.012163791,0.015003916,0,458752,False
1406,0.0,0.0,0,0,False
1407,0.049055664,0.023990792,0,393216,True
