Time,Steps,PROCESS_CPU,PROCESS_IO,Total Reward,Avg Reward,CPU Queue,IO Queue,State,Action
23:34:00,291,222,69,5525,18.98625429553265,270,0,"(270, 0)",PROCESS_CPU
23:34:06,292,223,69,5550,19.006849315068493,276,0,"(276, 0)",PROCESS_CPU
23:34:11,294,225,69,5600,19.047619047619047,274,0,"(274, 0)",PROCESS_CPU
23:34:16,295,226,69,5625,19.06779661016949,273,0,"(273, 0)",PROCESS_CPU
23:34:21,297,228,69,5675,19.107744107744107,272,0,"(272, 0)",PROCESS_CPU
23:34:26,298,229,69,5700,19.12751677852349,270,0,"(270, 0)",PROCESS_CPU
23:34:31,300,231,69,5750,19.166666666666668,269,0,"(269, 0)",PROCESS_CPU
23:34:36,301,232,69,5775,19.186046511627907,267,0,"(267, 0)",PROCESS_CPU
23:34:41,303,234,69,5825,19.224422442244222,266,0,"(266, 0)",PROCESS_CPU
23:34:46,304,235,69,5850,19.24342105263158,264,0,"(264, 0)",PROCESS_CPU
23:34:51,306,237,69,5900,19.281045751633982,263,0,"(263, 0)",PROCESS_CPU
23:34:56,307,238,69,5925,19.299674267100976,261,0,"(261, 0)",PROCESS_CPU
23:35:01,309,240,69,5975,19.336569579288025,260,0,"(260, 0)",PROCESS_CPU
23:35:06,310,241,69,6000,19.35483870967742,259,0,"(259, 0)",PROCESS_CPU
23:35:11,312,243,69,6050,19.39102564102564,258,0,"(258, 0)",PROCESS_CPU
23:35:16,313,244,69,6075,19.40894568690096,249,0,"(249, 0)",PROCESS_CPU
23:35:21,315,246,69,6125,19.444444444444443,248,0,"(248, 0)",PROCESS_CPU
23:35:26,316,247,69,6150,19.462025316455694,247,0,"(247, 0)",PROCESS_CPU
23:35:31,318,249,69,6200,19.49685534591195,246,0,"(246, 0)",PROCESS_CPU
23:35:36,319,250,69,6225,19.5141065830721,244,0,"(244, 0)",PROCESS_CPU
23:35:41,321,252,69,6275,19.54828660436137,245,0,"(245, 0)",PROCESS_CPU
23:35:46,322,253,69,6300,19.565217391304348,243,0,"(243, 0)",PROCESS_CPU
23:35:51,324,255,69,6350,19.59876543209877,242,0,"(242, 0)",PROCESS_CPU
23:35:56,325,256,69,6375,19.615384615384617,240,0,"(240, 0)",PROCESS_CPU
23:36:01,327,258,69,6425,19.648318042813457,219,0,"(219, 0)",PROCESS_CPU
23:36:06,328,259,69,6450,19.664634146341463,219,0,"(219, 0)",PROCESS_CPU
23:36:11,330,261,69,6500,19.696969696969695,218,0,"(218, 0)",PROCESS_CPU
23:36:16,331,262,69,6525,19.71299093655589,217,0,"(217, 0)",PROCESS_CPU
