pid,utime,stime,priority,mem_usage
60865,0.0,0.0,0,0
60878,0.083170704,0.063267124,0,5931008
60880,0.0,0.0,0,0
60881,0.0,0.0,0,0
60882,0.0,0.0,0,0
60883,0.0,0.0,0,0
60884,0.0,0.0,0,0
60885,0.0,0.0,0,0
60886,1.47572992,0.760398784,0,24969216
60887,0.0,0.0,0,0
60888,0.0,0.0,0,0
60889,0.0,0.0,0,0
60890,0.0,0.0,0,0
60891,0.0,0.0,0,0
60892,0.0,0.0,0,0
60893,0.0,0.0,0,0
60894,0.0,0.0,0,0
60895,0.0,0.0,0,0
60896,0.0,0.0,0,0
60897,0.0,0.0,0,0
60898,0.181279504,0.116764912,0,11943936
60899,0.0,0.0,0,0
60900,0.0,0.0,0,0
60901,0.0,0.0,0,0
60902,0.0,0.0,0,0
60903,0.0,0.0,0,0
60904,0.0,0.0,0,0
60905,0.055973664,0.04383796,0,5881856
60906,0.0,0.0,0,0
60907,0.0,0.0,0,0
60908,0.0,0.0,0,0
60909,0.0,0.0,0,0
60910,0.630227136,0.346874368,0,18120704
60912,0.0,0.0,0,0
60913,0.011475666,0.013784916,0,1884160
60914,0.342440576,0.338872992,0,4276224
60916,0.0,0.0,0,0
60918,0.045341624,0.035637332,0,6799360
60919,0.117225416,0.07733696,0,11911168
60920,0.0,0.0,0,0
60921,0.0,0.0,0,0
60924,0.224748048,0.182242128,0,21217280
60925,0.0,0.0,0,0
60928,0.107414416,0.039622168,0,3637248
60937,0.013723583,0.018565124,0,7159808
60939,0.131083336,0.054703292,0,11304960
60940,0.372904448,0.17380392,0,10420224
60949,0.0,0.0,0,0
60950,0.098152128,0.074575712,0,12484608
60952,0.0,0.0,0,0
60953,0.0,0.0,0,0
60956,0.319379776,0.243327248,0,8552448
60957,0.03316504,0.016174,0,1818624
60958,0.0,0.0,0,0
60959,0.088238208,0.058838292,0,11141120
60961,1.707671552,0.826290368,0,9535488
60965,0.11262304,0.08883792,0,9453568
60967,0.0,0.0,0,0
60970,0.0,0.0,0,0
61022,0.03128504,0.023329958,0,16252928
61027,0.08291808,0.036606084,0,19513344
61029,0.076597128,0.032071958,0,18972672
61030,0.076378208,0.0336485,0,18694144
61034,3.425735424,0.34887376,0,361824256
61036,3.60276096,0.484354528,0,274694144
61038,0.121707872,0.098075288,0,40206336
61039,0.178471424,0.046156832,0,10616832
61040,0.017701666,0.020886208,0,7340032
61041,0.099168752,0.034088876,0,10960896
61042,0.355111584,0.071186496,0,49250304
61043,0.009237833,0.007829958,0,3260416
61044,0.69734272,0.064863876,0,14303232
61045,0.037296376,0.033516916,0,4128768
61046,0.036490456,0.035363168,0,4374528
61047,0.0,0.0,0,0
61048,0.007246541,0.016161875,0,2539520
61069,0.026311624,0.011298208,0,8323072
61072,0.058109332,0.024252166,0,19398656
61073,0.0,0.0,0,0
61074,0.0,0.0,0,0
